date,value
9/9/2021,22295000000000
9/8/2021,22293400000000
9/7/2021,22282700000000
9/3/2021,22290300000000
9/2/2021,22282300000000
9/1/2021,22292700000000
8/31/2021,22254500000000
8/30/2021,22246900000000
8/27/2021,22243700000000
8/26/2021,22241100000000
8/25/2021,22249000000000
8/24/2021,22238000000000
8/23/2021,22251600000000
8/20/2021,22256400000000
8/19/2021,22259000000000
8/18/2021,22265500000000
8/17/2021,22250400000000
8/16/2021,22264500000000
8/13/2021,22275300000000
8/12/2021,22275200000000
8/11/2021,22279100000000
8/10/2021,22261700000000
8/9/2021,22270800000000
8/6/2021,22278600000000
8/5/2021,22277500000000
8/4/2021,22280500000000
8/3/2021,22281400000000
8/2/2021,22293300000000
7/30/2021,22284600000000
7/29/2021,22267000000000
7/28/2021,22289100000000
7/27/2021,22289700000000
7/26/2021,22299800000000
7/23/2021,22299500000000
7/22/2021,22296200000000
7/21/2021,22303200000000
7/20/2021,22304000000000
7/19/2021,22344200000000
7/16/2021,22344300000000
7/15/2021,22345400000000
7/14/2021,22290800000000
7/13/2021,22289700000000
7/12/2021,22314700000000
7/9/2021,22315000000000
7/8/2021,22314800000000
7/7/2021,22306800000000
7/6/2021,22306600000000
7/2/2021,22328100000000
7/1/2021,22327800000000
6/30/2021,22329800000000
6/29/2021,22182700000000
6/28/2021,22206800000000
6/25/2021,22205700000000
6/24/2021,22187800000000
6/23/2021,22183400000000
6/22/2021,22180600000000
6/21/2021,22175200000000
6/18/2021,22174100000000
6/17/2021,22173900000000
6/16/2021,22200100000000
6/15/2021,22199600000000
6/14/2021,22098700000000
6/11/2021,22097500000000
6/10/2021,22097300000000
6/9/2021,22120200000000
6/8/2021,22119300000000
6/7/2021,22113600000000
6/4/2021,22112500000000
6/3/2021,22111600000000
6/2/2021,22135000000000
6/1/2021,22134000000000
5/28/2021,22020900000000
5/27/2021,21983700000000
5/26/2021,22005900000000
5/25/2021,22005300000000
5/24/2021,22024500000000
5/21/2021,22023200000000
5/20/2021,22023400000000
5/19/2021,22043400000000
5/18/2021,22042700000000
5/17/2021,22061100000000
5/14/2021,21983500000000
5/13/2021,21983300000000
5/12/2021,22005300000000
5/11/2021,22004700000000
5/10/2021,22019300000000
5/7/2021,22018300000000
5/6/2021,22019100000000
5/5/2021,22043400000000
5/4/2021,22043000000000
5/3/2021,22057600000000
4/30/2021,22056100000000
4/29/2021,21925700000000
4/28/2021,21943200000000
4/27/2021,21942700000000
4/26/2021,21957000000000
4/23/2021,21957500000000
4/22/2021,21957100000000
4/21/2021,21985200000000
4/20/2021,21985300000000
4/19/2021,21999800000000
4/16/2021,21998800000000
4/15/2021,21998700000000
4/14/2021,21952900000000
4/13/2021,21952400000000
4/12/2021,21956400000000
4/9/2021,21955500000000
4/8/2021,21955700000000
4/7/2021,21969200000000
4/6/2021,21967100000000
4/5/2021,21971800000000
4/2/2021,21971400000000
4/1/2021,21971300000000
3/31/2021,21986900000000
3/30/2021,21838600000000
3/29/2021,21842900000000
3/26/2021,21842200000000
